Cluster centriods:
0.0 0.5015165043803868 0.4984834956196133
0.0 0.5072051767386827 0.49279482326131724
0.0 0.5038628124815313 0.4961371875184685
0.0 0.49179488359128176 0.5082051164087183
0.0 0.41159468956501927 0.5884053104349807
0.0 0.4843410331714236 0.5156589668285765
0.0 0.45216299181840075 0.5478370081815992
0.0 0.49818651023849153 0.5018134897615085
0.0 0.4949725189616834 0.5050274810383165
0.0 0.5103512846721493 0.48964871532785054
0.0 0.5120629937279125 0.48793700627208747
0.0 0.49999761949088567 0.5000023805091144
0.0 0.5228978582247545 0.4771021417752454
0.0 0.6139486968583913 0.3860513031416088
0.0 0.46503959583769805 0.5349604041623021
0.0 0.5453824421967812 0.45461755780321883
0.0 0.5121951219512195 0.48780487804878053
0.0 0.5175464728733901 0.4824535271266099
0.0 0.5134421394265083 0.48655786057349165
0.0 0.40078304933132614 0.5992169506686739
0.0 0.5 0.5
0.0 0.5425408215764054 0.4574591784235947
0.0 0.46056829711919084 0.5394317028808092
0.0 0.5444431854895109 0.45555681451048907
0.0 0.4566491440865758 0.5433508559134241
0.0 0.5322978314108101 0.4677021685891898
0.0 0.5019873463635104 0.4980126536364895
0.0 0.4995161490904511 0.5004838509095489
0.0 0.4156305790248629 0.5843694209751371
0.0 0.49395609071425434 0.5060439092857456
0.0 0.4695535444886585 0.5304464555113415
0.0 0.5032950542119816 0.49670494578801844
0.0 0.5394542715633679 0.46054572843663216
0.0 0.5 0.5
0.0 0.489903843449469 0.510096156550531
0.0 0.5049412595747242 0.4950587404252757
0.0 0.4769462098072513 0.5230537901927488
0.0 0.4735666154457241 0.5264333845542758
0.0 0.3274973712601481 0.672502628739852
0.0 0.516463223781886 0.483536776218114
0.0 0.5094866680060258 0.49051333199397423
0.0 0.5108811322366992 0.4891188677633009
0.0 0.5219018256557045 0.47809817434429547
0.0 0.5085472132668757 0.49145278673312426
0.0 0.5285431866199386 0.47145681338006135
0.0 0.5 0.5
0.0 0.5208128455758179 0.47918715442418214
0.0 0.1886079272563289 0.8113920727436712
0.0 0.49051057660845343 0.5094894233915466
0.0 0.500367595056111 0.499632404943889
0.0 0.48073432306949904 0.519265676930501
0.0 0.48873180744505645 0.5112681925549436
0.0 0.5982817086700876 0.40171829132991244
0.0 0.4247874041764353 0.5752125958235648
0.0 0.3896920089740674 0.6103079910259326
0.0 0.5648931084198202 0.43510689158017984
0.0 0.519278514531863 0.4807214854681369
0.0 0.5 0.5
0.0 0.5008377614281333 0.49916223857186676
0.0 0.554522455829281 0.445477544170719
0.0 0.5127645468224914 0.48723545317750866
0.0 0.4955549434477799 0.50444505655222
0.0 0.4978511581540445 0.5021488418459555
0.0 0.514653530158025 0.48534646984197505
0.0 0.4971858356585916 0.5028141643414084
0.0 0.4962402987671687 0.5037597012328313
0.0 0.37470017133889555 0.6252998286611043
0.0 0.5303354997616011 0.4696645002383989
0.0 0.6602017261860716 0.3397982738139283
0.0 0.5367962931844927 0.46320370681550727
0.0 0.5464210561445664 0.45357894385543357
0.0 0.5824332263538888 0.4175667736461112
0.0 0.5236070904687024 0.47639290953129754
0.0 0.5 0.5
0.0 0.5 0.5
0.0 0.49847654484323306 0.5015234551567671
0.0 0.4863563477211564 0.5136436522788436
0.0 0.515806617957205 0.48419338204279505
0.0 0.40833801324859514 0.5916619867514049
0.0 0.5 0.5
0.0 0.49671531469732055 0.5032846853026796
0.0 0.5090567133183811 0.49094328668161885
0.0 0.504172783302263 0.495827216697737
0.0 0.5161454360724398 0.4838545639275602
0.0 0.761664796308262 0.23833520369173797
0.0 0.5112826329707016 0.4887173670292984
0.0 0.5023088362119221 0.4976911637880779
0.0 0.5060307495960626 0.49396925040393735
0.0 0.526019980202973 0.47398001979702686
0.0 0.5905876945541552 0.4094123054458447
0.0 0.5099186360635551 0.4900813639364448
0.0 0.4951700317320184 0.5048299682679817
0.0 0.5244203863576289 0.47557961364237117
0.0 0.5480080126749338 0.4519919873250662
0.0 0.4585082620653799 0.5414917379346201
0.0 0.44131605602558277 0.5586839439744172
0.0 0.4785824002973122 0.5214175997026878
0.0 0.5200782027795526 0.4799217972204473
0.0 0.5027276532933437 0.49727234670665627
0.0 0.5 0.5
